timestamp,node,cpu_percent,memory_mb,memory_percent
2025-12-25T23:13:42+08:00,worker-2,1.1,874,11.1
2025-12-25T23:13:42+08:00,worker-3,1.1,644,4.0
2025-12-25T23:13:42+08:00,worker-4,1.0,705,4.4
2025-12-25T23:13:49+08:00,master,2.4,2159,13.6
2025-12-25T23:13:49+08:00,worker-1,0.0,605,7.7
2025-12-25T23:13:49+08:00,worker-2,1.1,868,11.0
2025-12-25T23:13:49+08:00,worker-3,1.1,671,4.2
2025-12-25T23:13:49+08:00,worker-4,0.0,731,4.6
2025-12-25T23:13:57+08:00,master,0.0,2138,13.4
2025-12-25T23:13:57+08:00,worker-1,0.0,603,7.7
2025-12-25T23:13:57+08:00,worker-2,0.0,871,11.0
2025-12-25T23:13:57+08:00,worker-3,1.1,656,4.1
2025-12-25T23:13:57+08:00,worker-4,1.0,711,4.5
2025-12-25T23:14:04+08:00,master,2.4,2149,13.5
2025-12-25T23:14:04+08:00,worker-1,0.0,603,7.7
2025-12-25T23:14:04+08:00,worker-2,1.1,868,11.0
2025-12-25T23:14:04+08:00,worker-3,1.1,646,4.0
2025-12-25T23:14:04+08:00,worker-4,1.0,710,4.5
2025-12-25T23:14:12+08:00,master,5.9,2141,13.4
2025-12-25T23:14:12+08:00,worker-1,4.7,598,7.6
2025-12-25T23:14:12+08:00,worker-2,0.0,869,11.0
2025-12-25T23:14:12+08:00,worker-3,1.1,645,4.0
2025-12-25T23:14:12+08:00,worker-4,0.0,703,4.4
2025-12-25T23:14:19+08:00,master,4.7,2124,13.3
2025-12-25T23:14:19+08:00,worker-1,0.0,598,7.6
2025-12-25T23:14:19+08:00,worker-2,0.0,865,11.0
2025-12-25T23:14:19+08:00,worker-3,1.2,645,4.0
2025-12-25T23:14:19+08:00,worker-4,2.0,704,4.4
2025-12-25T23:14:27+08:00,master,2.4,2171,13.6
2025-12-25T23:14:27+08:00,worker-1,0.0,597,7.6
2025-12-25T23:14:27+08:00,worker-2,0.0,867,11.0
2025-12-25T23:14:27+08:00,worker-3,1.1,648,4.1
2025-12-25T23:14:27+08:00,worker-4,1.0,698,4.4
2025-12-25T23:14:34+08:00,master,2.3,2158,13.5
2025-12-25T23:14:34+08:00,worker-1,2.3,598,7.6
2025-12-25T23:14:34+08:00,worker-2,1.1,868,11.0
2025-12-25T23:14:34+08:00,worker-3,1.1,642,4.0
2025-12-25T23:14:34+08:00,worker-4,1.0,699,4.4
2025-12-25T23:14:41+08:00,master,4.7,2134,13.4
2025-12-25T23:14:41+08:00,worker-1,0.0,602,7.7
2025-12-25T23:14:41+08:00,worker-2,0.0,896,11.4
2025-12-25T23:14:41+08:00,worker-3,1.1,646,4.0
2025-12-25T23:14:41+08:00,worker-4,2.0,701,4.4
2025-12-25T23:14:50+08:00,master,4.7,2131,13.4
2025-12-25T23:14:50+08:00,worker-1,2.3,599,7.7
2025-12-25T23:14:50+08:00,worker-2,2.3,872,11.1
2025-12-25T23:14:50+08:00,worker-3,1.1,644,4.0
2025-12-25T23:14:50+08:00,worker-4,1.1,705,4.4
2025-12-25T23:14:57+08:00,master,2.4,2131,13.4
2025-12-25T23:14:57+08:00,worker-1,2.3,595,7.6
2025-12-25T23:14:57+08:00,worker-2,1.1,873,11.1
2025-12-25T23:14:57+08:00,worker-3,1.1,669,4.2
2025-12-25T23:14:57+08:00,worker-4,0.0,736,4.6
2025-12-25T23:15:05+08:00,master,2.4,2153,13.5
2025-12-25T23:15:05+08:00,worker-1,2.3,600,7.7
2025-12-25T23:15:05+08:00,worker-2,1.1,873,11.1
2025-12-25T23:15:05+08:00,worker-3,1.1,647,4.1
2025-12-25T23:15:05+08:00,worker-4,1.0,722,4.5
2025-12-25T23:15:12+08:00,master,8.3,2126,13.3
2025-12-25T23:15:12+08:00,worker-1,2.3,600,7.7
2025-12-25T23:15:12+08:00,worker-2,1.1,870,11.0
2025-12-25T23:15:12+08:00,worker-3,1.1,645,4.0
2025-12-25T23:15:12+08:00,worker-4,1.0,711,4.5
2025-12-25T23:15:19+08:00,master,1.2,2178,13.7
2025-12-25T23:15:19+08:00,worker-1,2.3,597,7.6
2025-12-25T23:15:19+08:00,worker-2,1.2,869,11.0
2025-12-25T23:15:19+08:00,worker-3,0.0,642,4.0
2025-12-25T23:15:19+08:00,worker-4,2.0,709,4.5
2025-12-25T23:15:27+08:00,master,0.0,2144,13.5
2025-12-25T23:15:27+08:00,worker-1,2.4,596,7.6
2025-12-25T23:15:27+08:00,worker-2,1.1,865,11.0
2025-12-25T23:15:27+08:00,worker-3,1.1,647,4.1
2025-12-25T23:15:27+08:00,worker-4,1.0,706,4.4
2025-12-25T23:15:34+08:00,master,8.1,2126,13.3
2025-12-25T23:15:34+08:00,worker-1,0.0,600,7.7
2025-12-25T23:15:34+08:00,worker-2,0.0,865,11.0
2025-12-25T23:15:34+08:00,worker-3,2.2,645,4.0
2025-12-25T23:15:34+08:00,worker-4,1.0,709,4.5
2025-12-25T23:15:42+08:00,master,3.5,2142,13.4
2025-12-25T23:15:42+08:00,worker-1,2.3,594,7.6
2025-12-25T23:15:42+08:00,worker-2,1.2,867,11.0
2025-12-25T23:15:42+08:00,worker-3,1.1,640,4.0
2025-12-25T23:15:42+08:00,worker-4,1.0,708,4.5
2025-12-25T23:15:49+08:00,master,1.2,2149,13.5
2025-12-25T23:15:49+08:00,worker-1,2.3,625,8.0
2025-12-25T23:15:49+08:00,worker-2,1.2,891,11.3
2025-12-25T23:15:49+08:00,worker-3,1.1,643,4.0
2025-12-25T23:15:49+08:00,worker-4,0.0,706,4.4
2025-12-25T23:15:57+08:00,master,3.6,2137,13.4
2025-12-25T23:15:57+08:00,worker-1,0.0,612,7.8
2025-12-25T23:15:57+08:00,worker-2,0.0,876,11.1
2025-12-25T23:15:57+08:00,worker-3,0.0,640,4.0
2025-12-25T23:15:57+08:00,worker-4,0.0,707,4.4
2025-12-25T23:16:04+08:00,master,0.0,2133,13.4
2025-12-25T23:16:04+08:00,worker-1,2.3,604,7.7
2025-12-25T23:16:04+08:00,worker-2,0.0,867,11.0
2025-12-25T23:16:04+08:00,worker-3,0.0,655,4.1
2025-12-25T23:16:04+08:00,worker-4,1.1,737,4.6
2025-12-25T23:16:12+08:00,master,7.1,2149,13.5
2025-12-25T23:16:12+08:00,worker-1,0.0,604,7.7
2025-12-25T23:16:12+08:00,worker-2,1.1,873,11.1
2025-12-25T23:16:12+08:00,worker-3,1.1,651,4.1
2025-12-25T23:16:12+08:00,worker-4,1.0,726,4.6
2025-12-25T23:16:20+08:00,master,1.2,2164,13.6
2025-12-25T23:16:20+08:00,worker-1,0.0,604,7.7
2025-12-25T23:16:20+08:00,worker-2,2.3,872,11.1
2025-12-25T23:16:20+08:00,worker-3,2.3,646,4.0
2025-12-25T23:16:20+08:00,worker-4,1.0,714,4.5
2025-12-25T23:16:27+08:00,master,3.5,2152,13.5
2025-12-25T23:16:27+08:00,worker-1,0.0,595,7.6
2025-12-25T23:16:27+08:00,worker-2,0.0,876,11.1
2025-12-25T23:16:27+08:00,worker-3,1.1,649,4.1
2025-12-25T23:16:27+08:00,worker-4,1.0,713,4.5
2025-12-25T23:16:35+08:00,master,0.0,2129,13.4
2025-12-25T23:16:35+08:00,worker-1,0.0,596,7.6
2025-12-25T23:16:35+08:00,worker-2,0.0,874,11.1
2025-12-25T23:16:35+08:00,worker-3,1.1,643,4.0
2025-12-25T23:16:35+08:00,worker-4,1.0,705,4.4
2025-12-25T23:16:42+08:00,master,2.3,2150,13.5
2025-12-25T23:16:42+08:00,worker-1,0.0,597,7.6
2025-12-25T23:16:42+08:00,worker-2,1.1,875,11.1
2025-12-25T23:16:42+08:00,worker-3,1.1,639,4.0
2025-12-25T23:16:42+08:00,worker-4,1.0,706,4.4
2025-12-25T23:16:49+08:00,master,4.8,2144,13.5
2025-12-25T23:16:49+08:00,worker-1,0.0,628,8.0
2025-12-25T23:16:49+08:00,worker-2,2.4,901,11.4
2025-12-25T23:16:49+08:00,worker-3,2.3,638,4.0
2025-12-25T23:16:49+08:00,worker-4,1.0,704,4.4
2025-12-25T23:16:57+08:00,master,2.4,2143,13.5
2025-12-25T23:16:57+08:00,worker-1,0.0,604,7.7
2025-12-25T23:16:57+08:00,worker-2,1.2,882,11.2
2025-12-25T23:16:57+08:00,worker-3,1.1,643,4.0
2025-12-25T23:16:57+08:00,worker-4,1.0,706,4.4
2025-12-25T23:17:05+08:00,master,2.3,2156,13.5
2025-12-25T23:17:05+08:00,worker-1,0.0,605,7.7
2025-12-25T23:17:05+08:00,worker-2,1.1,875,11.1
2025-12-25T23:17:05+08:00,worker-3,1.1,648,4.1
2025-12-25T23:17:05+08:00,worker-4,1.0,705,4.4
2025-12-25T23:17:12+08:00,master,1.1,2133,13.4
2025-12-25T23:17:12+08:00,worker-1,2.3,607,7.8
2025-12-25T23:17:12+08:00,worker-2,2.3,877,11.1
2025-12-25T23:17:12+08:00,worker-3,2.3,675,4.2
2025-12-25T23:17:12+08:00,worker-4,1.1,718,4.5
2025-12-25T23:17:20+08:00,master,1.2,2164,13.6
2025-12-25T23:17:20+08:00,worker-1,2.3,603,7.7
2025-12-25T23:17:20+08:00,worker-2,0.0,873,11.1
2025-12-25T23:17:20+08:00,worker-3,1.1,654,4.1
2025-12-25T23:17:20+08:00,worker-4,1.0,712,4.5
2025-12-25T23:17:28+08:00,master,0.0,2142,13.4
2025-12-25T23:17:28+08:00,worker-1,0.0,602,7.7
2025-12-25T23:17:28+08:00,worker-2,0.0,874,11.1
2025-12-25T23:17:28+08:00,worker-3,1.2,648,4.1
2025-12-25T23:17:28+08:00,worker-4,2.0,708,4.5
2025-12-25T23:17:35+08:00,master,0.0,2154,13.5
2025-12-25T23:17:35+08:00,worker-1,0.0,597,7.6
2025-12-25T23:17:35+08:00,worker-2,1.2,871,11.0
2025-12-25T23:17:35+08:00,worker-3,1.1,650,4.1
2025-12-25T23:17:35+08:00,worker-4,1.0,707,4.4
2025-12-25T23:17:42+08:00,master,1.1,2139,13.4
