timestamp,node,cpu_percent,memory_mb,memory_percent
2025-12-25T23:04:06+08:00,worker-2,0.0,845,10.7
2025-12-25T23:04:06+08:00,worker-3,2.3,633,4.0
2025-12-25T23:04:06+08:00,worker-4,2.0,667,4.2
2025-12-25T23:04:13+08:00,master,4.7,2118,13.3
2025-12-25T23:04:13+08:00,worker-1,0.0,568,7.3
2025-12-25T23:04:13+08:00,worker-2,1.1,843,10.7
2025-12-25T23:04:13+08:00,worker-3,0.0,613,3.8
2025-12-25T23:04:13+08:00,worker-4,0.0,674,4.2
2025-12-25T23:04:21+08:00,master,0.0,2119,13.3
2025-12-25T23:04:21+08:00,worker-1,0.0,562,7.2
2025-12-25T23:04:21+08:00,worker-2,4.7,847,10.7
2025-12-25T23:04:21+08:00,worker-3,1.1,608,3.8
2025-12-25T23:04:21+08:00,worker-4,2.0,668,4.2
2025-12-25T23:04:28+08:00,master,0.0,2102,13.2
2025-12-25T23:04:28+08:00,worker-1,2.3,561,7.2
2025-12-25T23:04:28+08:00,worker-2,0.0,838,10.6
2025-12-25T23:04:28+08:00,worker-3,1.1,612,3.8
2025-12-25T23:04:28+08:00,worker-4,1.0,661,4.2
2025-12-25T23:04:36+08:00,master,10.3,2096,13.2
2025-12-25T23:04:36+08:00,worker-1,0.0,562,7.2
2025-12-25T23:04:36+08:00,worker-2,0.0,838,10.6
2025-12-25T23:04:36+08:00,worker-3,0.0,610,3.8
2025-12-25T23:04:36+08:00,worker-4,1.0,661,4.2
2025-12-25T23:04:43+08:00,master,1.2,2099,13.2
2025-12-25T23:04:43+08:00,worker-1,0.0,557,7.1
2025-12-25T23:04:43+08:00,worker-2,1.1,839,10.6
2025-12-25T23:04:43+08:00,worker-3,1.1,598,3.7
2025-12-25T23:04:43+08:00,worker-4,1.0,663,4.2
2025-12-25T23:04:51+08:00,master,0.0,2114,13.3
2025-12-25T23:04:51+08:00,worker-1,0.0,558,7.1
2025-12-25T23:04:51+08:00,worker-2,0.0,844,10.7
2025-12-25T23:04:51+08:00,worker-3,1.1,597,3.7
2025-12-25T23:04:51+08:00,worker-4,1.0,663,4.2
2025-12-25T23:04:58+08:00,master,2.4,2103,13.2
2025-12-25T23:04:58+08:00,worker-1,0.0,558,7.1
2025-12-25T23:04:58+08:00,worker-2,0.0,842,10.7
2025-12-25T23:04:58+08:00,worker-3,1.1,603,3.8
2025-12-25T23:04:58+08:00,worker-4,0.0,664,4.2
2025-12-25T23:05:05+08:00,master,0.0,2092,13.1
2025-12-25T23:05:05+08:00,worker-1,0.0,590,7.5
2025-12-25T23:05:05+08:00,worker-2,0.0,839,10.6
2025-12-25T23:05:05+08:00,worker-3,1.1,607,3.8
2025-12-25T23:05:05+08:00,worker-4,1.0,664,4.2
2025-12-25T23:05:13+08:00,master,2.3,2116,13.3
2025-12-25T23:05:13+08:00,worker-1,0.0,572,7.3
2025-12-25T23:05:13+08:00,worker-2,0.0,838,10.6
2025-12-25T23:05:13+08:00,worker-3,1.1,634,4.0
2025-12-25T23:05:13+08:00,worker-4,1.1,679,4.3
2025-12-25T23:05:21+08:00,master,1.1,2109,13.2
2025-12-25T23:05:21+08:00,worker-1,0.0,568,7.3
2025-12-25T23:05:21+08:00,worker-2,0.0,837,10.6
2025-12-25T23:05:21+08:00,worker-3,1.1,607,3.8
2025-12-25T23:05:21+08:00,worker-4,1.0,675,4.2
2025-12-25T23:05:29+08:00,master,5.8,2109,13.2
2025-12-25T23:05:29+08:00,worker-1,0.0,560,7.2
2025-12-25T23:05:29+08:00,worker-2,1.1,839,10.6
2025-12-25T23:05:29+08:00,worker-3,1.1,604,3.8
2025-12-25T23:05:29+08:00,worker-4,1.0,669,4.2
2025-12-25T23:05:36+08:00,master,0.0,2098,13.2
2025-12-25T23:05:36+08:00,worker-1,0.0,561,7.2
2025-12-25T23:05:36+08:00,worker-2,1.1,838,10.6
2025-12-25T23:05:36+08:00,worker-3,1.1,600,3.8
2025-12-25T23:05:36+08:00,worker-4,1.0,666,4.2
2025-12-25T23:05:43+08:00,master,2.3,2110,13.2
2025-12-25T23:05:43+08:00,worker-1,0.0,562,7.2
2025-12-25T23:05:43+08:00,worker-2,1.2,835,10.6
