timestamp,node,cpu_percent,memory_mb,memory_percent
2025-12-25T23:22:41+08:00,worker-2,0.0,903,11.5
2025-12-25T23:22:41+08:00,worker-3,1.1,640,4.0
2025-12-25T23:22:41+08:00,worker-4,1.0,701,4.4
2025-12-25T23:22:49+08:00,master,1.2,2184,13.7
2025-12-25T23:22:49+08:00,worker-1,0.0,610,7.8
2025-12-25T23:22:49+08:00,worker-2,1.2,879,11.1
2025-12-25T23:22:49+08:00,worker-3,1.2,670,4.2
2025-12-25T23:22:49+08:00,worker-4,1.0,731,4.6
2025-12-25T23:22:57+08:00,master,2.4,2167,13.6
2025-12-25T23:22:57+08:00,worker-1,0.0,602,7.7
2025-12-25T23:22:57+08:00,worker-2,0.0,870,11.0
2025-12-25T23:22:57+08:00,worker-3,0.0,650,4.1
2025-12-25T23:22:57+08:00,worker-4,1.0,716,4.5
2025-12-25T23:23:05+08:00,master,1.2,2180,13.7
2025-12-25T23:23:05+08:00,worker-1,2.3,598,7.6
2025-12-25T23:23:05+08:00,worker-2,0.0,866,11.0
2025-12-25T23:23:05+08:00,worker-3,1.2,645,4.0
2025-12-25T23:23:05+08:00,worker-4,1.0,709,4.5
2025-12-25T23:23:12+08:00,master,1.2,2187,13.7
2025-12-25T23:23:12+08:00,worker-1,2.4,596,7.6
2025-12-25T23:23:12+08:00,worker-2,1.2,867,11.0
2025-12-25T23:23:12+08:00,worker-3,1.1,638,4.0
2025-12-25T23:23:12+08:00,worker-4,1.0,706,4.4
2025-12-25T23:23:19+08:00,master,4.8,2160,13.6
2025-12-25T23:23:19+08:00,worker-1,2.3,595,7.6
2025-12-25T23:23:19+08:00,worker-2,1.2,867,11.0
2025-12-25T23:23:19+08:00,worker-3,0.0,635,4.0
2025-12-25T23:23:19+08:00,worker-4,1.0,708,4.5
2025-12-25T23:23:26+08:00,master,0.0,2170,13.6
2025-12-25T23:23:26+08:00,worker-1,0.0,597,7.6
2025-12-25T23:23:26+08:00,worker-2,1.2,864,11.0
2025-12-25T23:23:26+08:00,worker-3,1.1,641,4.0
2025-12-25T23:23:26+08:00,worker-4,1.0,705,4.4
2025-12-25T23:23:34+08:00,master,0.0,2172,13.6
2025-12-25T23:23:34+08:00,worker-1,0.0,596,7.6
2025-12-25T23:23:34+08:00,worker-2,1.2,865,11.0
2025-12-25T23:23:34+08:00,worker-3,1.1,641,4.0
2025-12-25T23:23:34+08:00,worker-4,0.0,709,4.5
2025-12-25T23:23:41+08:00,master,5.7,2170,13.6
2025-12-25T23:23:41+08:00,worker-1,0.0,601,7.7
2025-12-25T23:23:41+08:00,worker-2,1.2,865,11.0
2025-12-25T23:23:41+08:00,worker-3,1.1,639,4.0
2025-12-25T23:23:41+08:00,worker-4,1.0,711,4.5
2025-12-25T23:23:49+08:00,master,1.2,2179,13.7
2025-12-25T23:23:49+08:00,worker-1,0.0,627,8.0
2025-12-25T23:23:49+08:00,worker-2,0.0,896,11.4
2025-12-25T23:23:49+08:00,worker-3,0.0,641,4.0
2025-12-25T23:23:49+08:00,worker-4,1.0,707,4.4
2025-12-25T23:23:57+08:00,master,3.4,2189,13.7
2025-12-25T23:23:57+08:00,worker-1,2.4,609,7.8
2025-12-25T23:23:57+08:00,worker-2,0.0,880,11.2
2025-12-25T23:23:57+08:00,worker-3,0.0,673,4.2
2025-12-25T23:23:57+08:00,worker-4,0.0,735,4.6
2025-12-25T23:24:05+08:00,master,0.0,2186,13.7
2025-12-25T23:24:05+08:00,worker-1,0.0,604,7.7
2025-12-25T23:24:05+08:00,worker-2,1.1,875,11.1
2025-12-25T23:24:05+08:00,worker-3,1.1,655,4.1
2025-12-25T23:24:05+08:00,worker-4,1.0,716,4.5
2025-12-25T23:24:12+08:00,master,12.2,2163,13.6
2025-12-25T23:24:12+08:00,worker-1,2.3,604,7.7
2025-12-25T23:24:12+08:00,worker-2,0.0,873,11.1
2025-12-25T23:24:12+08:00,worker-3,1.1,645,4.0
2025-12-25T23:24:12+08:00,worker-4,1.0,710,4.5
2025-12-25T23:24:19+08:00,master,1.1,2171,13.6
2025-12-25T23:24:19+08:00,worker-1,0.0,605,7.7
2025-12-25T23:24:19+08:00,worker-2,1.2,872,11.1
2025-12-25T23:24:19+08:00,worker-3,2.2,644,4.0
2025-12-25T23:24:19+08:00,worker-4,3.1,712,4.5
2025-12-25T23:24:27+08:00,master,2.3,2192,13.8
2025-12-25T23:24:27+08:00,worker-1,0.0,597,7.6
2025-12-25T23:24:27+08:00,worker-2,0.0,872,11.1
2025-12-25T23:24:27+08:00,worker-3,3.4,637,4.0
2025-12-25T23:24:27+08:00,worker-4,2.0,701,4.4
2025-12-25T23:24:34+08:00,master,4.6,2190,13.7
2025-12-25T23:24:34+08:00,worker-1,0.0,597,7.6
2025-12-25T23:24:34+08:00,worker-2,1.1,873,11.1
2025-12-25T23:24:34+08:00,worker-3,2.3,639,4.0
2025-12-25T23:24:34+08:00,worker-4,0.0,701,4.4
2025-12-25T23:24:41+08:00,master,2.4,2180,13.7
2025-12-25T23:24:41+08:00,worker-1,2.4,600,7.7
2025-12-25T23:24:41+08:00,worker-2,1.2,872,11.1
2025-12-25T23:24:41+08:00,worker-3,1.1,638,4.0
